P/N:,S/N:,AR,AP,AN,AM,AL,AK,AJ,AH,AG,AF,AE,AD,AC,AB
6A7614,RGA46870,242.98 mm,251.02 mm,258.83 mm,263.33 mm,264.13 mm,264.37 mm,265.10 mm,267.41 mm,269.57 mm,272.51 mm,276.18 mm,278.92 mm,282.47 mm,254.40 mm
6A7614,RGA85382,243.18 mm,252.03 mm,260.28 mm,265.16 mm,266.26 mm,266.32 mm,267.07 mm,269.25 mm,271.53 mm,274.72 mm,278.19 mm,281.36 mm,285.62 mm,258.59 mm
6A7614,RGA85742,243.42 mm,252.41 mm,260.73 mm,265.06 mm,266.04 mm,266.00 mm,266.71 mm,268.81 mm,270.63 mm,273.83 mm,277.18 mm,279.71 mm,284.20 mm,255.67 mm
6A7614,RGA86528,243.72 mm,252.30 mm,260.70 mm,265.18 mm,265.93 mm,266.31 mm,266.68 mm,269.19 mm,271.43 mm,274.69 mm,278.12 mm,281.47 mm,285.38 mm,257.68 mm
6A7614,RGA86582,243.57 mm,252.02 mm,260.51 mm,265.34 mm,266.20 mm,265.70 mm,266.81 mm,269.33 mm,271.56 mm,274.90 mm,278.62 mm,280.98 mm,285.41 mm,260.68 mm
6A7614,RGA86616,243.30 mm,252.05 mm,259.77 mm,264.92 mm,266.12 mm,266.16 mm,267.05 mm,269.09 mm,271.12 mm,274.49 mm,277.94 mm,281.11 mm,285.21 mm,258.78 mm
6A7614,RGA86618,242.91 mm,251.71 mm,260.43 mm,265.01 mm,266.15 mm,266.22 mm,266.63 mm,269.03 mm,271.24 mm,274.79 mm,278.10 mm,281.36 mm,284.94 mm,255.74 mm
6A7614,RGA86627,243.55 mm,252.24 mm,260.72 mm,265.22 mm,266.29 mm,266.35 mm,266.91 mm,269.17 mm,270.84 mm,274.41 mm,277.81 mm,281.45 mm,285.24 mm,256.65 mm
6A7614,RGA86629,243.22 mm,251.90 mm,260.49 mm,265.03 mm,266.42 mm,266.25 mm,266.87 mm,269.33 mm,271.46 mm,274.70 mm,277.31 mm,281.08 mm,284.81 mm,257.37 mm
6A7614,RGA86636,242.55 mm,252.02 mm,260.26 mm,264.74 mm,265.89 mm,266.07 mm,267.03 mm,269.22 mm,271.51 mm,274.89 mm,278.22 mm,281.01 mm,285.14 mm,259.01 mm
6A7614,RGA86640,243.58 mm,252.03 mm,260.46 mm,264.99 mm,266.06 mm,265.86 mm,266.19 mm,268.72 mm,271.20 mm,274.71 mm,278.07 mm,281.22 mm,285.05 mm,259.25 mm
6A7614,RGA86651,242.42 mm,251.85 mm,260.23 mm,264.94 mm,266.15 mm,266.22 mm,266.71 mm,268.72 mm,270.97 mm,274.11 mm,277.26 mm,280.42 mm,284.12 mm,257.28 mm
6A7614,RGA86686,243.23 mm,252.04 mm,260.37 mm,265.07 mm,266.21 mm,266.29 mm,266.73 mm,269.24 mm,271.17 mm,274.79 mm,278.40 mm,281.29 mm,284.56 mm,258.77 mm
6A7614,RGA86705,244.24 mm,252.95 mm,260.99 mm,265.41 mm,266.50 mm,266.46 mm,267.21 mm,269.36 mm,271.39 mm,274.83 mm,278.05 mm,281.22 mm,284.78 mm,256.80 mm
6A7614,RGA86706,244.04 mm,252.70 mm,260.67 mm,265.02 mm,266.44 mm,266.59 mm,267.03 mm,269.57 mm,271.67 mm,275.08 mm,278.01 mm,280.80 mm,285.64 mm,260.18 mm
6A7614,RGA86714,243.90 mm,252.99 mm,260.77 mm,265.57 mm,266.27 mm,266.02 mm,266.85 mm,269.07 mm,271.17 mm,274.65 mm,278.22 mm,281.12 mm,284.97 mm,257.19 mm
6A7614,RGA99069,242.88 mm,251.75 mm,260.65 mm,265.14 mm,266.38 mm,266.45 mm,266.76 mm,268.88 mm,271.16 mm,274.26 mm,277.68 mm,281.10 mm,284.89 mm,257.22 mm
6A7614,RGA99314,243.10 mm,252.04 mm,260.45 mm,264.93 mm,265.82 mm,266.01 mm,266.34 mm,267.66 mm,269.27 mm,272.79 mm,276.58 mm,279.58 mm,283.65 mm,173.96 mm
6A7614,RGV90579,243.42 mm,252.40 mm,260.96 mm,265.75 mm,266.45 mm,266.53 mm,266.86 mm,269.52 mm,271.63 mm,274.63 mm,278.55 mm,281.36 mm,284.68 mm,256.23 mm
6A7614,RGV90626,243.68 mm,252.74 mm,261.25 mm,266.09 mm,266.99 mm,267.11 mm,267.63 mm,269.77 mm,272.10 mm,275.32 mm,278.89 mm,281.85 mm,285.34 mm,256.21 mm
