P/N:,S/N:,AR,AP,AN,AM,AL,AK,AJ,AH,AG,AF,AE,AD,AC,AB
6A7614,RGA42551,241.64 mm,250.51 mm,259.05 mm,263.65 mm,264.68 mm,264.56 mm,264.84 mm,267.40 mm,269.33 mm,272.91 mm,276.01 mm,278.72 mm,281.89 mm,253.52 mm
6A7614,RGA46870,243.04 mm,251.18 mm,259.19 mm,263.54 mm,264.42 mm,264.63 mm,265.11 mm,267.61 mm,269.70 mm,272.86 mm,276.36 mm,279.39 mm,283.06 mm,256.12 mm
6A7614,RGA85382,243.37 mm,252.14 mm,260.59 mm,265.54 mm,266.42 mm,266.60 mm,267.17 mm,269.38 mm,271.87 mm,274.89 mm,278.36 mm,281.43 mm,285.41 mm,261.84 mm
6A7614,RGA85742,243.64 mm,252.73 mm,260.93 mm,265.64 mm,266.52 mm,266.48 mm,266.89 mm,269.20 mm,271.26 mm,274.03 mm,277.83 mm,280.78 mm,284.61 mm,258.18 mm
6A7614,RGA86528,243.96 mm,252.49 mm,260.82 mm,265.50 mm,266.51 mm,266.58 mm,267.16 mm,269.68 mm,271.91 mm,275.35 mm,279.09 mm,281.74 mm,285.75 mm,259.68 mm
6A7614,RGA86582,243.65 mm,252.21 mm,260.75 mm,265.52 mm,266.49 mm,266.41 mm,266.83 mm,269.79 mm,272.14 mm,275.28 mm,279.01 mm,282.03 mm,286.21 mm,261.28 mm
6A7614,RGA86616,243.70 mm,252.32 mm,260.43 mm,265.63 mm,266.38 mm,266.32 mm,267.24 mm,269.69 mm,271.79 mm,275.29 mm,278.56 mm,281.40 mm,285.11 mm,261.11 mm
6A7614,RGA86618,243.36 mm,252.08 mm,260.56 mm,265.35 mm,266.27 mm,266.50 mm,266.94 mm,269.52 mm,271.66 mm,274.93 mm,278.55 mm,281.55 mm,285.55 mm,257.70 mm
6A7614,RGA86627,243.71 mm,252.45 mm,261.13 mm,265.56 mm,266.41 mm,266.60 mm,267.25 mm,269.39 mm,271.42 mm,274.94 mm,278.29 mm,281.39 mm,285.56 mm,258.80 mm
6A7614,RGA86629,243.52 mm,252.19 mm,260.80 mm,265.74 mm,266.52 mm,266.78 mm,267.30 mm,269.93 mm,272.04 mm,275.30 mm,278.73 mm,281.50 mm,285.57 mm,258.84 mm
6A7614,RGA86636,242.96 mm,252.28 mm,260.54 mm,265.28 mm,266.09 mm,266.45 mm,267.20 mm,269.71 mm,271.80 mm,275.25 mm,278.92 mm,281.89 mm,285.75 mm,261.37 mm
6A7614,RGA86640,243.88 mm,252.36 mm,260.73 mm,265.72 mm,266.27 mm,266.04 mm,266.60 mm,269.30 mm,271.63 mm,275.11 mm,278.74 mm,281.87 mm,285.61 mm,261.54 mm
6A7614,RGA86651,242.99 mm,252.19 mm,260.64 mm,265.49 mm,266.48 mm,266.36 mm,266.98 mm,269.47 mm,271.52 mm,274.73 mm,277.96 mm,280.95 mm,284.81 mm,258.16 mm
6A7614,RGA86686,243.61 mm,252.11 mm,260.46 mm,265.47 mm,266.58 mm,266.74 mm,267.33 mm,269.70 mm,271.66 mm,275.01 mm,278.87 mm,281.44 mm,285.35 mm,258.95 mm
6A7614,RGA86705,244.63 mm,253.17 mm,261.05 mm,265.88 mm,266.99 mm,266.65 mm,267.46 mm,269.66 mm,271.51 mm,275.25 mm,278.57 mm,281.26 mm,285.36 mm,258.01 mm
6A7614,RGA86706,243.84 mm,252.80 mm,260.80 mm,265.53 mm,266.58 mm,266.73 mm,267.39 mm,269.91 mm,272.14 mm,275.46 mm,278.89 mm,281.94 mm,285.79 mm,261.62 mm
6A7614,RGA86714,243.87 mm,253.21 mm,261.14 mm,265.86 mm,266.63 mm,266.60 mm,266.91 mm,269.33 mm,271.27 mm,274.93 mm,278.58 mm,281.49 mm,285.45 mm,259.13 mm
6A7614,RGA88673,244.34 mm,252.54 mm,260.94 mm,265.31 mm,266.48 mm,266.51 mm,267.22 mm,269.53 mm,271.76 mm,275.09 mm,278.65 mm,281.79 mm,284.96 mm,258.83 mm
6A7614,RGA99069,243.04 mm,251.92 mm,260.68 mm,265.65 mm,266.85 mm,266.76 mm,267.27 mm,269.65 mm,271.83 mm,275.00 mm,277.86 mm,281.48 mm,285.42 mm,260.25 mm
6A7614,RGA99314,243.21 mm,252.21 mm,260.58 mm,265.42 mm,265.79 mm,266.30 mm,266.81 mm,267.76 mm,269.48 mm,273.16 mm,277.22 mm,280.33 mm,283.93 mm,257.82 mm
6A7614,RGV90579,243.46 mm,252.48 mm,260.91 mm,265.81 mm,266.31 mm,266.60 mm,267.32 mm,269.74 mm,272.09 mm,275.26 mm,278.89 mm,281.56 mm,285.28 mm,258.88 mm
6A7614,RGV90626,243.73 mm,253.04 mm,261.72 mm,266.18 mm,267.07 mm,267.39 mm,267.89 mm,270.43 mm,272.59 mm,275.70 mm,279.52 mm,281.99 mm,285.88 mm,257.85 mm
