P/N:,S/N:,AR,AP,AN,AM,AL,AK,AJ,AH,AG,AF,AE,AD,AC,AB
6A7614,RGA46870,9.581,9.864,10.1795,10.375,10.4335,10.4375,10.4635,10.558,10.6425,10.7645,10.9065,11.021,11.1675,
6A7614,RGA85382,9.605,9.91,10.243,10.453,10.514,10.524,10.55,10.647,10.7245,10.848,10.9885,11.11,11.272,
6A7614,RGA85742,9.598,9.923,10.2495,10.4525,10.509,10.504,10.5275,10.6155,10.6895,10.812,10.943,11.059,11.2115,
6A7614,RGA86528,9.612,9.916,10.2185,10.439,10.508,10.5135,10.5675,10.6365,10.719,10.881,10.9945,11.105,11.265,
6A7614,RGA86582,9.606,9.9015,10.24,10.4545,10.5125,10.5185,10.5365,10.6435,10.7255,10.8505,11.0045,11.127,11.276,
6A7614,RGA86616,9.6125,9.912,10.23,10.442,10.5105,10.515,10.5475,10.6345,10.714,10.8475,10.9935,11.1075,11.2575,
6A7614,RGA86618,9.592,9.902,10.2425,10.445,10.506,10.517,10.5375,10.6315,10.7125,10.8455,10.992,11.108,11.2535,
6A7614,RGA86627,9.6155,9.9175,10.2565,10.4565,10.5145,10.5225,10.5465,10.6335,10.7095,10.8395,10.9765,11.101,11.2485,
6A7614,RGA86629,9.6085,9.8985,10.247,10.4545,10.521,10.523,10.5485,10.644,10.7225,10.8515,10.9875,11.105,11.25,
6A7614,RGA86636,9.594,9.911,10.2365,10.444,10.507,10.518,10.5445,10.6385,10.7195,10.8385,10.9915,11.111,11.2625,
6A7614,RGA86640,9.607,9.898,10.241,10.456,10.5075,10.505,10.5205,10.623,10.713,10.859,10.989,11.109,11.2595,
6A7614,RGA86651,9.577,9.898,10.242,10.4475,10.5105,10.5125,10.531,10.6215,10.705,10.8305,10.9575,11.0755,11.2325,
6A7614,RGA86686,9.6025,9.9115,10.2385,10.451,10.514,10.521,10.549,10.639,10.7215,10.853,10.9945,11.1105,11.254,
6A7614,RGA86705,9.6425,9.9475,10.2655,10.473,10.5275,10.529,10.5565,10.6455,10.725,10.862,10.9935,11.1075,11.2585,
6A7614,RGA86706,9.6265,9.922,10.242,10.446,10.5155,10.5255,10.5525,10.6475,10.7335,10.8625,10.9995,11.1165,11.2585,
6A7614,RGA86714,9.6205,9.9435,10.261,10.4635,10.518,10.522,10.5395,10.632,10.7145,10.848,10.991,11.1025,11.251,
6A7614,RGA99069,9.5865,9.893,10.247,10.4615,10.52,10.5285,10.5465,10.631,10.7105,10.8375,10.9685,11.0985,11.2495,
6A7614,RGA99314,9.606,9.915,10.2505,10.451,10.4965,10.508,10.531,10.5765,10.6375,10.783,10.933,11.064,11.2155,
6A7614,RRFASTRGV90579,9.6,9.9205,10.26,10.4805,10.5305,10.5315,10.556,10.648,10.7335,10.863,11.007,11.12,11.2635,
6A7614,RRFASTRGV90626,9.603,9.928,10.2875,10.488,10.545,10.5495,10.571,10.6585,10.741,10.8665,11.0115,11.13,11.2705,
